Name,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Directory Structure,1750,947,9425,216537,31605,148620,28256,30675,60354,"0,19",0,0,"0,00","0,00"
Directory Structure/loreSystem,1750,947,9425,216537,31605,148620,28256,30675,60354,"0,19",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish,101,63,719,24078,4146,15775,4400,4002,8079,"0,28",0,0,"0,00","0,00"
Directory Structure/loreSystem/canvas,0,1,11,76,6,34,0,9,16,"0,00",0,0,"0,00","0,00"
Directory Structure/loreSystem/docs,0,29,55,11541,97,552,97,91,340,"0,18",0,0,"0,00","0,00"
Directory Structure/loreSystem/lore_mcp_server,11,11,60,5376,567,4474,342,791,2385,"0,08",0,0,"0,00","0,00"
Directory Structure/loreSystem/migrations,0,4,8,800,74,653,90,56,126,"0,14",0,0,"0,00","0,00"
Directory Structure/loreSystem/scripts,14,92,156,23230,3316,18082,1940,1859,6604,"0,11",0,0,"0,00","0,00"
Directory Structure/loreSystem/src,1540,695,7874,141123,21782,101471,20161,21989,39684,"0,20",0,0,"0,00","0,00"
Directory Structure/loreSystem/tests,84,45,541,8106,1461,5612,1138,1788,2667,"0,20",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend,101,53,643,22971,3979,15004,4246,3799,7759,"0,28",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/cognee_sidecar,0,1,33,651,120,531,1,142,271,"0,00",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/frontend,0,9,43,456,47,240,153,61,49,"0,64",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend/app,70,35,482,18222,3062,11758,3642,2799,5692,"0,31",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend/scripts,17,5,101,3719,665,2480,590,693,1620,"0,24",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend/tests,14,12,59,980,240,740,2,296,426,"0,00",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend/app/api,0,4,71,4452,707,2663,1102,519,1206,"0,41",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend/app/models,6,3,25,502,91,305,122,107,147,"0,40",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend/app/services,60,20,345,12230,2050,8170,2208,1963,3969,"0,27",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/backend/app/utils,3,6,34,852,173,511,171,155,297,"0,33",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/frontend/src,0,7,43,421,46,224,152,58,49,"0,68",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/frontend/src/api,0,4,40,327,35,145,148,38,37,"1,02",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/frontend/src/router,0,1,0,52,3,49,0,10,1,"0,00",0,0,"0,00","0,00"
Directory Structure/loreSystem/MiroFish/frontend/src/store,0,1,3,33,5,24,4,6,8,"0,17",0,0,"0,00","0,00"
Directory Structure/loreSystem/docs/archive,0,29,55,11541,97,552,97,91,340,"0,18",0,0,"0,00","0,00"
Directory Structure/loreSystem/docs/archive/htmlcov,0,29,55,11541,97,552,97,91,340,"0,18",0,0,"0,00","0,00"
Directory Structure/loreSystem/lore_mcp_server/examples,0,1,1,234,33,174,28,38,82,"0,16",0,0,"0,00","0,00"
Directory Structure/loreSystem/lore_mcp_server/mcp_server,1,3,34,3974,351,3448,179,544,1964,"0,05",0,0,"0,00","0,00"
Directory Structure/loreSystem/lore_mcp_server/tests,0,2,5,332,57,234,41,72,130,"0,18",0,0,"0,00","0,00"
Directory Structure/loreSystem/migrations/elasticsearch,0,2,4,449,30,387,49,29,47,"0,13",0,0,"0,00","0,00"
Directory Structure/loreSystem/migrations/sql,0,2,4,351,44,266,41,27,79,"0,15",0,0,"0,00","0,00"
Directory Structure/loreSystem/migrations/sql/versions,0,1,2,267,27,218,22,13,60,"0,10",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/application,43,13,66,2350,300,1775,303,529,757,"0,17",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/domain,815,613,3778,68081,10960,42795,16015,10238,17395,"0,37",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/infrastructure,621,10,3218,48678,6894,40475,1614,7147,10455,"0,04",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/presentation,61,57,812,22003,3625,16423,2224,4072,11075,"0,14",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/application/examples,24,5,39,1467,172,1121,194,359,465,"0,17",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/application/integration,2,3,18,372,42,325,5,81,124,"0,02",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/application/use_cases,5,3,9,343,59,214,77,69,80,"0,36",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/domain/entities,437,302,2420,45306,6696,32327,7953,6981,15564,"0,25",0,0,"0,00","0,00"
Directory Structure/loreSystem/src/domain/repositories,303,304,1266,21409,3961,9598,7850,2782,1267,"0,82",0,0,"0,00","0,00"
